state,year,own_proxy
Alabama,1999,0.5096459576418757
Alaska,1999,0.4913177995033473
Arizona,1999,0.3851395453862477
Arkansas,1999,0.560562525066078
California,1999,0.2744823390908832
Colorado,1999,0.3760644564183186
Connecticut,1999,0.22660119001898907
Delaware,1999,0.3030340478608668
Florida,1999,0.31472646364777007
Georgia,1999,0.447966293986115
Hawaii,1999,0.06863316158095488
Idaho,1999,0.6090766004541599
Illinois,1999,0.2757293542181449
Indiana,1999,0.3743104018291347
Iowa,1999,0.38515983483163985
Kansas,1999,0.3877123921064643
Kentucky,1999,0.473229040921734
Louisiana,1999,0.4900059238213833
Maine,1999,0.4563041816155814
Maryland,1999,0.327626505997157
Massachusetts,1999,0.13787838629145663
Michigan,1999,0.40494415103795056
Minnesota,1999,0.4069110519865655
Mississippi,1999,0.5533275400138172
Missouri,1999,0.43410051199992483
Montana,1999,0.6699059002679182
Nebraska,1999,0.4564571228096616
Nevada,1999,0.387239806023554
New Hampshire,1999,0.3162852334229156
New Jersey,1999,0.1818586522485141
New Mexico,1999,0.37215551131411617
New York,1999,0.22387534705041298
North Carolina,1999,0.4084132477927588
North Dakota,1999,0.4867019975140717
Ohio,1999,0.358634662455038
Oklahoma,1999,0.45124666975947664
Oregon,1999,0.459790288849997
Pennsylvania,1999,0.39346881281008633
Rhode Island,1999,0.19361396586049168
South Carolina,1999,0.45469082165272434
South Dakota,1999,0.6003039915646958
Tennessee,1999,0.5000478193431547
Texas,1999,0.3886153581452198
Utah,1999,0.39522114475185566
Vermont,1999,0.5964641093332944
Virginia,1999,0.3998039822118465
Washington,1999,0.3519725363187311
West Virginia,1999,0.5805365083799429
Wisconsin,1999,0.42868403094176893
Wyoming,1999,0.6648442669542226
Alabama,2000,0.47737252237560734
Alaska,2000,0.5726655022034141
Arizona,2000,0.3854097621217049
Arkansas,2000,0.5534238808461389
California,2000,0.27643723970899564
Colorado,2000,0.3969805766270101
Connecticut,2000,0.20537412799797636
Delaware,2000,0.28796109433752093
Florida,2000,0.31976011171820035
Georgia,2000,0.43125739163401655
Hawaii,2000,0.13110253015309767
Idaho,2000,0.5737544995022055
Illinois,2000,0.249747504425264
Indiana,2000,0.38230079004627243
Iowa,2000,0.3930596388907956
Kansas,2000,0.39788910974306424
Kentucky,2000,0.49400588071870033
Louisiana,2000,0.4577972311979208
Maine,2000,0.5282298099928495
Maryland,2000,0.30399254632592154
Massachusetts,2000,0.13534381300338677
Michigan,2000,0.39486714805481987
Minnesota,2000,0.401306025625695
Mississippi,2000,0.5197693615384386
Missouri,2000,0.44056464703953596
Montana,2000,0.7238846587401416
Nebraska,2000,0.445912739653118
Nevada,2000,0.3627253367328996
New Hampshire,2000,0.3409141693260888
New Jersey,2000,0.13718168881815665
New Mexico,2000,0.35564720607508954
New York,2000,0.2423532434718824
North Carolina,2000,0.4074021258371971
North Dakota,2000,0.48641023749434276
Ohio,2000,0.33213670660202693
Oklahoma,2000,0.42985493085876636
Oregon,2000,0.4354830687414652
Pennsylvania,2000,0.39264515244800485
Rhode Island,2000,0.1904344374117278
South Carolina,2000,0.4426668734876612
South Dakota,2000,0.6285420434144092
Tennessee,2000,0.5035959521097366
Texas,2000,0.3927433885833921
Utah,2000,0.4094565334036669
Vermont,2000,0.5169038896042729
Virginia,2000,0.39523578931705083
Washington,2000,0.32859788086344166
West Virginia,2000,0.5575487254727758
Wisconsin,2000,0.43520749693722616
Wyoming,2000,0.6610560682899761
Alabama,2001,0.49297564162164265
Alaska,2001,0.5221719174001016
Arizona,2001,0.3746759097769757
Arkansas,2001,0.565377454366711
California,2001,0.2832282215952335
Colorado,2001,0.3653819723299074
Connecticut,2001,0.22632323201960525
Delaware,2001,0.288581413324316
Florida,2001,0.28797681554509863
Georgia,2001,0.41554819102475554
Hawaii,2001,0.10449857395330996
Idaho,2001,0.5711750634600673
Illinois,2001,0.25688509846518776
Indiana,2001,0.3633028947262438
Iowa,2001,0.37338277751433707
Kansas,2001,0.37879677890299013
Kentucky,2001,0.46615492248120205
Louisiana,2001,0.46621719944683987
Maine,2001,0.45442118681724625
Maryland,2001,0.2840164391746245
Massachusetts,2001,0.12156578468822427
Michigan,2001,0.37459781091418665
Minnesota,2001,0.3980446520441342
Mississippi,2001,0.5060705136736801
Missouri,2001,0.4226671120196477
Montana,2001,0.7664797895760576
Nebraska,2001,0.4256524014378042
Nevada,2001,0.33886908917804187
New Hampshire,2001,0.3131645838914222
New Jersey,2001,0.14258036565516116
New Mexico,2001,0.346657465400765
New York,2001,0.21963264092336351
North Carolina,2001,0.40566154080889016
